val1,suit1,val2,suit2,nwin,nloose,nsplit
4.0,3.0,11.0,1.0,0.4254,0.5304,0.0442
4.0,3.0,11.0,0.0,0.421,0.5354,0.0436
4.0,3.0,11.0,3.0,0.4614,0.4956,0.043
4.0,1.0,11.0,0.0,0.4184,0.5362,0.0454
4.0,1.0,11.0,3.0,0.4008,0.5508,0.0484
4.0,0.0,11.0,0.0,0.4526,0.4994,0.048
4.0,0.0,11.0,3.0,0.4194,0.5368,0.0438
4.0,2.0,12.0,1.0,0.4174,0.5348,0.0478
4.0,2.0,12.0,0.0,0.417,0.5474,0.0356
4.0,2.0,12.0,2.0,0.462,0.5072,0.0308
4.0,2.0,12.0,3.0,0.4246,0.541,0.0344
4.0,3.0,12.0,1.0,0.4472,0.5042,0.0486
4.0,3.0,12.0,0.0,0.4132,0.5532,0.0336
4.0,3.0,12.0,2.0,0.4236,0.5448,0.0316
4.0,3.0,12.0,3.0,0.4618,0.504,0.0342
4.0,1.0,12.0,0.0,0.4206,0.5472,0.0322
4.0,1.0,12.0,2.0,0.4216,0.5448,0.0336
4.0,1.0,12.0,3.0,0.411,0.555,0.034
4.0,0.0,12.0,2.0,0.4122,0.5572,0.0306
4.0,0.0,12.0,3.0,0.403,0.5596,0.0374
4.0,2.0,13.0,2.0,0.505,0.4518,0.0432
4.0,2.0,13.0,0.0,0.4802,0.475,0.0448
4.0,2.0,13.0,3.0,0.489,0.4646,0.0464
4.0,2.0,13.0,1.0,0.4794,0.4766,0.044
4.0,3.0,13.0,2.0,0.4738,0.4834,0.0428
4.0,3.0,13.0,0.0,0.4614,0.496,0.0426
4.0,3.0,13.0,3.0,0.5216,0.435,0.0434
4.0,3.0,13.0,1.0,0.4836,0.468,0.0484
4.0,1.0,13.0,1.0,0.5022,0.4608,0.037
4.0,0.0,13.0,1.0,0.4842,0.4714,0.0444
4.0,2.0,14.0,0.0,0.535,0.4258,0.0392
4.0,2.0,14.0,2.0,0.5538,0.4024,0.0438
4.0,2.0,14.0,1.0,0.5218,0.4408,0.0374
4.0,3.0,14.0,2.0,0.5274,0.4344,0.0382
4.0,3.0,14.0,1.0,0.5336,0.4232,0.0432
4.0,1.0,14.0,1.0,0.5466,0.4126,0.0408
4.0,0.0,14.0,1.0,0.53,0.4268,0.0432
5.0,3.0,2.0,0.0,0.3088,0.6286,0.0626
5.0,3.0,2.0,3.0,0.351,0.586,0.063
5.0,3.0,2.0,2.0,0.3088,0.624,0.0672
5.0,3.0,2.0,1.0,0.3126,0.629,0.0584
5.0,2.0,2.0,2.0,0.3574,0.585,0.0576
5.0,2.0,2.0,1.0,0.3156,0.614,0.0704
5.0,1.0,2.0,2.0,0.3138,0.6164,0.0698
5.0,1.0,2.0,1.0,0.3494,0.5894,0.0612
5.0,0.0,2.0,2.0,0.3098,0.6296,0.0606
5.0,0.0,2.0,1.0,0.3132,0.6264,0.0604
5.0,3.0,3.0,0.0,0.3352,0.6046,0.0602
5.0,3.0,3.0,3.0,0.372,0.5648,0.0632
5.0,3.0,3.0,2.0,0.3354,0.6002,0.0644
5.0,2.0,3.0,0.0,0.3388,0.5924,0.0688
5.0,2.0,3.0,3.0,0.3356,0.6008,0.0636
5.0,2.0,3.0,2.0,0.3754,0.573,0.0516
5.0,1.0,3.0,0.0,0.3278,0.6138,0.0584
5.0,1.0,3.0,3.0,0.3408,0.597,0.0622
5.0,1.0,3.0,2.0,0.3306,0.6074,0.062
5.0,0.0,3.0,0.0,0.3704,0.5752,0.0544
5.0,0.0,3.0,3.0,0.3354,0.6032,0.0614
5.0,0.0,3.0,2.0,0.3336,0.603,0.0634
5.0,3.0,4.0,3.0,0.3674,0.5868,0.0458
5.0,3.0,4.0,1.0,0.3468,0.5942,0.059
5.0,3.0,4.0,0.0,0.3342,0.6064,0.0594
5.0,2.0,4.0,1.0,0.3362,0.6028,0.061
5.0,2.0,4.0,0.0,0.325,0.6108,0.0642
5.0,1.0,4.0,1.0,0.3468,0.5962,0.057
5.0,1.0,4.0,0.0,0.3356,0.6026,0.0618
5.0,0.0,4.0,1.0,0.3152,0.6234,0.0614
5.0,0.0,4.0,0.0,0.3676,0.5772,0.0552
